Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Sunshine Duration  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;03;09;00;00;2.44;76.00;1024.00;0.00;-999.00;6.61;150.64
2020;03;09;01;00;2.28;78.00;1023.40;0.00;0.00;6.88;137.12
2020;03;09;02;00;2.01;80.00;1022.90;0.00;0.00;6.99;124.51
2020;03;09;03;00;1.75;83.00;1022.80;0.00;0.00;6.29;113.63
2020;03;09;04;00;1.53;87.00;1021.90;0.00;0.00;5.69;108.43
2020;03;09;05;00;1.40;90.00;1021.10;0.00;0.00;5.24;105.95
2020;03;09;06;00;1.42;92.00;1021.20;0.00;0.00;4.90;107.10
2020;03;09;07;00;1.55;93.00;1021.20;0.00;0.00;3.88;111.80
2020;03;09;08;00;2.05;83.00;1021.30;0.00;0.00;5.09;188.13
2020;03;09;09;00;4.97;70.00;1021.40;0.00;30.00;7.73;207.76
2020;03;09;10;00;7.48;62.00;1020.70;0.00;26.17;10.46;220.82
2020;03;09;11;00;9.76;56.00;1019.70;0.00;28.09;11.46;226.27
2020;03;09;12;00;11.70;49.00;1019.50;0.00;16.60;12.68;235.41
2020;03;09;13;00;13.07;48.00;1019.70;0.00;0.00;13.04;242.02
2020;03;09;14;00;14.29;46.00;1019.40;0.00;0.00;12.98;250.56
2020;03;09;15;00;15.05;45.00;1018.90;0.00;0.00;11.97;263.09
2020;03;09;16;00;15.16;47.00;1018.70;0.00;0.00;9.47;278.75
2020;03;09;17;00;14.74;52.00;1018.90;0.00;0.00;5.35;312.27
2020;03;09;18;00;13.79;61.00;1019.10;0.00;0.00;7.42;39.09
2020;03;09;19;00;11.86;73.00;1019.80;0.00;17.07;13.68;54.64
2020;03;09;20;00;9.70;86.00;1020.20;0.00;0.00;18.00;53.13
2020;03;09;21;00;6.97;95.00;1020.60;0.00;0.00;21.82;52.37
2020;03;09;22;00;4.47;97.00;1021.00;0.00;0.00;23.78;50.53
2020;03;09;23;00;2.41;92.00;1021.00;0.00;0.00;25.70;52.97
2020;03;10;00;00;1.13;88.00;1021.10;0.00;0.00;25.20;53.13
2020;03;10;01;00;0.44;86.00;1021.10;0.00;0.00;24.70;53.30
2020;03;10;02;00;0.02;87.00;1021.00;0.00;0.00;23.19;53.84
2020;03;10;03;00;-0.31;89.00;1021.00;0.00;0.00;21.27;56.04
2020;03;10;04;00;-0.59;90.00;1020.30;0.00;0.00;17.79;54.06
2020;03;10;05;00;-0.85;90.00;1020.00;0.00;0.00;14.57;50.01
2020;03;10;06;00;-1.04;91.00;1019.70;0.00;0.00;13.00;48.37
2020;03;10;07;00;-1.18;90.00;1019.50;0.00;0.00;10.95;46.33
2020;03;10;08;00;0.77;90.00;1019.00;0.00;0.00;7.49;35.22
2020;03;10;09;00;4.18;74.00;1019.00;0.00;0.00;1.84;11.31
